,start,end,finished,random,prompt,consent,Facebook,polcon,update_polcon,informative_polcon,accurate_polcon,persuasive_polcon,like_polcon,comment_polcon,polnon,update_polnon,informative_polnon,accurate_polnon,persuasive_polnon,like_polnon,comment_polnon,apolcon,update_apolcon,informative_apolcon,accurate_apolcon,persuasive_apolcon,like_apolcon,comment_apolcon,apolnon,update_apolnon,informative_apolnon,accurate_apolnon,persuasive_apolnon,like_apolnon,comment_apolnon,update_noarticle,informative_noarticle,accurate_noarticle,persuasive_noarticle,like_noarticle,comment_noarticle,part1,part2,part3,attach1,attach2,attach3,attach4,attach5,attach6,attach7,attach8,attach9,attach10,gopstereo1,gopstereo2,gopstereo3,gopstereo4,gopstereo5,gopstereo6,gopstereo7,gopstereo8,gopstereo9,gopstereo10,gopstereo11,gopstereo12,demstereo1,demstereo2,demstereo3,demstereo4,demstereo5,demstereo6,demstereo7,demstereo8,demstereo9,demstereo10,demstereo11,demstereo12,gopvoter1,gopvoter2,gopvoter3,gopvoter4,gopvoter5,gopvoter6,gopvoter7,gopvoter8,gopvoter9,gopvoter10,gopvoter11,gopvoter12,demvoter1,demvoter2,demvoter3,demvoter4,demvoter5,demvoter6,demvoter7,demvoter8,demvoter9,demvoter10,demvoter11,demvoter12,amvoter_gop1,amvoter_gop2,amvoter_gop3,amvoter_gop4,amvoter_gop5,amvoter_gop6,amvoter_gop7,amvoter_gop8,amvoter_gop9,amvoter_gop10,amvoter_gop11,amvoter_gop12,amvoter_gop13,amvoter_dem1,amvoter_dem2,amvoter_dem3,amvoter_dem4,amvoter_dem5,amvoter_dem6,amvoter_dem7,amvoter_dem8,amvoter_dem9,amvoter_dem10,amvoter_dem11,amvoter_dem12,amvoter_dem13,interest,code,Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function.,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,promptdescrip,treatarticle,IDrownum,Filename.1
1,2/11/16 13:56,2/11/16 13:57,1,3525,informative,1,1,NA,,,,,,,NA,,,,,,,NA,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,1,outputinformative_NA_1,1,1,92.84,50,1,25.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,outputinformative,NA,1,outputinformative_NA_1
2,2/11/16 13:57,2/11/16 13:58,1,8591,statusupdate,1,1,NA,,,,,,,NA,,,,,,,1,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2/11/16 14:03,2/11/16 14:06,1,1928,statusupdate,1,1,NA,,,,,,,NA,,,,,,,NA,,,,,,,NA,,,,,,,Planned Parenthood needs federal funding. We should support these people that are being responsable and planning parenthood. If planned parenthood had more funding there would be alot less of unplanned parenthood. ,,,,,,2,1,NA,4,1,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,5,5,5,5,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,96,30,89,71,38,76,84,89,15,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,outputstatusupdate_5_3,1,31,14.22,97.31,1,83.22,10.33,41.94,90.32,41.94,9.68,3.23,0,3.23,0,0,0,6.45,0,3.23,19.35,3.23,6.45,0,25.81,6.45,6.45,0,0,9.68,3.23,3.23,0,0,0,0,19.35,12.9,0,0,0,16.13,0,0,12.9,6.45,0,3.23,0,0,0,0,0,0,0,0,0,25.81,16.13,9.68,0,0,0,3.23,12.9,3.23,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,9.68,9.68,0,0,0,0,0,0,0,0,0,0,outputstatusupdate,5,3,outputstatusupdate_5_3
4,2/11/16 14:08,2/11/16 14:08,1,3285,,1,2,NA,,,,,,,NA,,,,,,,NA,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,output_NA_4,1,1,92.84,50,1,25.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,output,NA,4,output_NA_4
5,2/11/16 14:04,2/11/16 14:09,1,1200,accurate,1,1,1,,,"Daleiden made videos about Planned Parenthood selling intact babies, that were born alive and left to die. The parts could then be sold for money. Daldeiden could face 20 years in jail, while no charges were filed against planned parenthood",,,,NA,,,,,,,NA,,,,,,,NA,,,,,,,,,,,,,2,1,NA,3,2,2,3,3,3,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,71,77,44,20,45,50,66,70,64,47,72,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,outputaccurate_1_5,1,40,71.61,59.88,7.84,25.77,13.33,22.5,80,40,2.5,0,0,0,0,0,0,2.5,2.5,12.5,12.5,2.5,7.5,2.5,27.5,2.5,0,0,2.5,0,0,0,0,0,0,0,7.5,7.5,0,0,0,10,0,2.5,5,0,0,2.5,2.5,2.5,0,0,5,2.5,2.5,0,0,10,5,5,0,0,0,15,5,2.5,15,0,5,10,0,2.5,0,7.5,0,5,0,0,0,0,0,0,10,5,5,0,0,0,0,0,0,0,0,0,outputaccurate,1,5,outputaccurate_1_5
6,2/11/16 14:07,2/11/16 14:10,1,3757,like,1,1,NA,,,,,,,NA,,,,,,,NA,,,,,,,NA,,,,,,,,,,,"I believe that planned parenthood should receive federal funding. A woman has a right to do whatever she wants to her body and an unborn, unconscious fetal seed constitutes ""her body"" until it reaches a certain age. GFY.",,3,NA,3,1,4,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,100,1,94,93,100,100,100,97,93,95,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,outputlike_NA_6,1,1,92.84,50,1,25.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,outputlike,NA,6,outputlike_NA_6
7,2/11/16 14:07,2/11/16 14:11,1,1560,comment,1,1,NA,,,,,,,1,,,,,,"Recently, anti-abortion activists have used dishonest means to try to convince the public that Planned Parenthood was misusing fetal tissue. The statements were made to be inflammatory and to cause a public outcry. Unfortunately not everyone has been able to learn that these videos were untrue and fake. Hopefully David Daledin and Sandra Merritt will be convicted and properly punished for their crimes.",NA,,,,,,,NA,,,,,,,,,,,,,1,1,NA,4,2,3,3,2,3,4,2,2,3,5,4,3,4,4,5,4,5,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,55,55,64,60,25,60,99,71,70,28,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,outputcomment_2_7,1,64,59.34,68.03,1.47,7.63,16,28.12,78.12,45.31,7.81,1.56,0,0,0,0,1.56,6.25,4.69,9.38,14.06,1.56,6.25,1.56,21.88,3.12,1.56,0,0,0,7.81,3.12,4.69,0,1.56,0,7.81,1.56,0,0,0,17.19,6.25,4.69,1.56,3.12,1.56,1.56,1.56,1.56,0,0,3.12,0,3.12,1.56,0,7.81,1.56,4.69,1.56,0,0,9.38,10.94,3.12,1.56,0,0,1.56,1.56,1.56,0,0,0,0,0,0,0,0,0,0,9.38,6.25,1.56,0,0,0,0,1.56,0,0,0,0,outputcomment,2,7,outputcomment_2_7
8,2/11/16 14:05,2/11/16 14:12,1,6497,comment,1,1,NA,,,,,,,NA,,,,,,,NA,,,,,,,1,,,,,,"I am very aware of this situation, I am a father of four and I make it a to never use my phone around my kids.  I get so annoyed when I am out in public and I see parents staring at their phones and their children either acting out or just having a look on them like they need their parents attention and its not there.  ",,,,,,,2,1,NA,4,2,1,1,4,4,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,88,1,81,99,100,63,91,83,20,82,35,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,outputcomment_4_8,1,67,16.16,50,92.99,8.14,33.5,10.45,97.01,67.16,23.88,19.4,11.94,0,0,0,7.46,4.48,4.48,14.93,5.97,10.45,10.45,2.99,16.42,1.49,2.99,1.49,1.49,1.49,1.49,0,1.49,0,1.49,0,19.4,4.48,0,0,1.49,13.43,2.99,2.99,1.49,1.49,1.49,4.48,7.46,4.48,2.99,0,0,0,0,0,0,5.97,2.99,0,1.49,1.49,0,0,13.43,0,11.94,0,8.96,2.99,0,0,0,0,0,0,0,0,0,0,0,0,4.48,2.99,1.49,0,0,0,0,0,0,0,0,0,outputcomment,4,8,outputcomment_4_8
9,2/11/16 14:07,2/11/16 14:12,1,1308,statusupdate,1,1,NA,,,,,,,NA,,,,,,,NA,,,,,,,1,"Studies show that rats with distracted parents are less likely to eat well or socialize. This has implications for all of us. Put down your phones, parents!",,,,,,,,,,,,2,1,NA,3,3,2,2,1,3,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,4,4,5,4,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,80,12,100,93,91,51,85,66,22,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,outputstatusupdate_4_9,1,27,74.89,98.62,15.12,88.52,9,22.22,92.59,48.15,14.81,7.41,0,3.7,3.7,0,0,7.41,0,18.52,7.41,3.7,3.7,0,14.81,3.7,3.7,0,0,7.41,7.41,3.7,0,0,0,0,18.52,7.41,0,0,0,18.52,3.7,3.7,0,7.41,3.7,3.7,7.41,3.7,3.7,0,3.7,0,0,0,3.7,14.81,11.11,0,3.7,0,0,0,11.11,0,7.41,3.7,3.7,0,3.7,0,0,0,0,0,3.7,0,0,0,3.7,0,14.81,7.41,3.7,0,0,0,3.7,0,0,0,0,0,outputstatusupdate,4,9,outputstatusupdate_4_9
10,2/11/16 14:09,2/11/16 14:12,1,4556,accurate,1,1,NA,,,,,,,NA,,,,,,,NA,,,,,,,NA,,,,,,,,,I absolutely think Planned Parenthood should receive federal funding. They provide information and supplies for safe sex and contraception. I also very much like abortion. I hate anti abortionists.,,,,3,NA,3,3,2,3,1,1,4,3,2,3,1,4,2,3,2,4,4,1,2,4,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40,60,50,60,80,50,90,40,40,30,0,10,60,60,40,50,40,20,50,10,60,60,70,100,90,2,1,outputaccurate_NA_10,1,1,92.84,50,1,25.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,outputaccurate,NA,10,outputaccurate_NA_10
